[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.application.HelloApplication  - Error main
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errornot-null property references a null or transient value : bg.tuvarna.sit.group5.tickets.data.entities.Tickets.eventByEventIdEvent
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in bg.tuvarna.sit.group5.tickets.data.entities.Tickets entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errornot-null property references a null or transient value : bg.tuvarna.sit.group5.tickets.data.entities.Tickets.eventByEventIdEvent
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in bg.tuvarna.sit.group5.tickets.data.entities.Tickets entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errornot-null property references a null or transient value : bg.tuvarna.sit.group5.tickets.data.entities.Tickets.eventByEventIdEvent
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in bg.tuvarna.sit.group5.tickets.data.entities.Tickets entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errornot-null property references a null or transient value : bg.tuvarna.sit.group5.tickets.data.entities.Tickets.eventByEventIdEvent
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in bg.tuvarna.sit.group5.tickets.data.entities.Tickets entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errornot-null property references a null or transient value : bg.tuvarna.sit.group5.tickets.data.entities.Tickets.eventByEventIdEvent
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in bg.tuvarna.sit.group5.tickets.data.entities.Tickets entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventRepository  - Event save errorNot-null property references a transient value - transient instance must be saved before current operation : bg.tuvarna.sit.group5.tickets.data.entities.Event.organizer -> bg.tuvarna.sit.group5.tickets.data.entities.Organizer
